screen_name_from,score
Pat19eighty4,0.8
suseaslowknitta,0.2
angiebUK,1.2
pazzalou,0.8
FickersH,0.6
ann_poppy,1.0
Boadicea51,0.8
simplysimontfa,0.8
FlipChartRick,0.9
undecidedvoter3,2.7
gerrybyrne,0.0
FUNMUSICUK,1.0
Latest_UK_News,3.8
robertbrowne1,1.6
EechieOchie,4.2
helenhighwater5,0.8
smartysue,0.8
DavieTait,1.2
mpwandnyssa1,1.4
carolinehills2,1.6
timdrfc,0.4
MartinHinds,1.0
CRRosenstiel,0.6
IanBonner_,0.6
autodytis,0.0
r2ssnc,1.2
bigbudsshop,3.3
hazel_fluffy,1.2
johnpoweris,1.2
Frusie,0.8
Solutionprovida,4.3
charmayne11,0.0
SocialDemSheff,0.5
ianwilgoose,2.2
RyanW1996,4.1
RaeSnape,4.7
Hogmeisster,4.1
Margybargy,0.6
cybercheshired,1.8
OutReachDude,3.3
jpfallon27,0.4
Susieb2014,0.4
ernieharding59,0.8
AngloAJ,2.2
MisGrace,3.4
renkes,0.6
countryboylife,1.0
ZakRafal,0.8
speomph,0.4
artslover57,1.5
wiardsterk,0.0
peeps160,1.5
fleming77,0.8
bassmadman,1.0
justmebeingme4,4.6
OwenEileensowen,0.8
jfdeeks,3.2
NKerrisonDavey,0.3
hjoneshojo,1.1
TimMorton2,0.6
Frances_Coppola,0.6
SarahHenney,4.8
pierreleberk,3.8
EUEXIT,0.2
scottgoddard123,4.1
alexkid11301157,4.2
DavidMcGookin,3.4
GowTolson,0.8
StanY1af,1.0
roematthew,4.1
dimayray,1.6
ThanGenghisKhan,0.4
Ed40Carter,0.8
Spellitout007,0.6
GetLabourOut,0.6
SeanyBeau,0.0
Kyrianplantman,1.6
prestick09,1.2
LiverpoolDL,0.4
Massie68,0.1
WeeScottishMamm,0.8
eileenent,0.3
ardalby,0.9
Skibum170,0.7
RuralGurn,0.2
MancCufflink,1.4
parvaest,0.4
CER_IanBond,1.1
dalewood,2.8
johnadixon60,0.2
vandyke4ad,0.8
Maxiu121,0.2
jonskewes,0.5
anydel,1.9
RossSHouston,0.8
Frasmi,4.5
frdragonspouse,0.6
Davej0hnson0k,1.0
Gallon73,0.6
FParsonage,0.9
salisburyhour,1.5
AMCELL,0.6
bedlamswife,0.9
A_C_McGregor,0.1
9casey99,1.2
_BillyTheFish_,0.2
DianaHarding7,0.5
labour4europe,0.7
MrsMcLordy,0.2
etonmessuk,0.2
andythegreenie,0.8
maynon2013,0.8
ChrisWynThom,4.9
mukhtarkarim,0.6
johnpike1,0.2
feelfascination,0.4
emmaeforrest,0.0
answerability,1.0
sallycopper,1.1
MLRPromoExtra,4.4
waynesmith1971,0.6
derekvaughan,1.2
Enigmayne,1.2
GreenCandidate,0.9
I_McL,0.6
Glenndalmas,0.8
Sarafand,0.6
JohnCrampton6,0.6
drewhgill,4.4
LizSandy2,0.4
LdnStrongerIn,2.2
LesleyMillercyp,1.0
twinKammo,1.2
allanjenkins21,0.8
ProgContra,0.2
atmosphereairuk,1.4
MLRPromoBiz2Biz,4.6
oscartango,3.2
nottajotta,1.6
KPearsonRoofing,3.5
zeno001,2.0
Cosmixer,0.2
tweetuk,3.2
McwilliamsMay,0.2
adamboultonSKY,2.2
PaulDBrant,0.0
Rudd70Shazy,1.2
ruraloutback,0.6
petervhale,2.0
KDPEP64,4.1
MyzLilith,0.4
coventrysilver,0.8
triggs35,0.4
pundamaria,1.6
ukhouseremovals,3.4
DEEEPECK,3.3
MariachiJoe,1.1
gnomeicide,1.1
thepoordears,3.0
London4Europe,1.0
Nick_Theobald,1.0
HenryCPorter,1.1
melanoma321,4.2
Pamfino,1.4
